sample,metric,read_length_or_region,value,description
example_report,prop_reads_CDS,27,0.5513383939272872,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,28,0.5962776378393507,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,29,0.5784476912644103,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,30,0.5797782371734637,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,31,0.5657099697885196,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,32,0.5622226389149322,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,33,0.5382081686429513,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,34,0.5420280186791194,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,35,0.6073298429319371,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,36,0.6116504854368932,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,37,0.75,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,51,0.41304347826086957,Proportion of reads mapping to CDS
example_report,prop_reads_leader,global,0.4245569875151027,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,15,0.4657534246575342,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,16,0.4418604651162791,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,17,0.35909090909090907,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,18,0.544,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,19,0.5846153846153846,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,20,0.5,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,21,0.6417910447761194,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,22,0.2549019607843137,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,23,0.4666666666666667,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,24,0.3951219512195122,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,25,0.4460431654676259,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,26,0.4497716894977169,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,27,0.4382740711146624,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,28,0.39532605653512454,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,29,0.41433943653288946,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,30,0.41364405186994924,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,31,0.42763406344410876,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,32,0.43177698606162884,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,33,0.4542160737812912,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,34,0.4482988659106071,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,35,0.38481675392670156,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,36,0.3786407766990291,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,37,0.25,Proportion of reads mapping to 5' leader
example_report,prop_reads_leader,51,0.5869565217391305,Proportion of reads mapping to 5' leader
example_report,prop_reads_trailer,global,0.0062525171163914615,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,15,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,16,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,17,0.004545454545454545,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,18,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,19,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,20,0.016666666666666666,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,21,0.014925373134328358,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,22,0.0196078431372549,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,23,0.013333333333333334,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,24,0.004878048780487805,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,25,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,26,0.0045662100456621,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,27,0.008389932081502197,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,28,0.007696613490064372,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,29,0.006349793477590777,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,30,0.006154858109377936,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,31,0.005995090634441088,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,32,0.005875367210450653,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,33,0.006368028107158542,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,34,0.00600400266844563,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,35,0.007853403141361256,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,36,0.009708737864077669,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,37,0.0,Proportion of reads mapping to 3' trailer
example_report,prop_reads_trailer,51,0.0,Proportion of reads mapping to 3' trailer
example_report,periodicity_dominance,20,0.5,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,21,1.0,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,23,0.4,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,24,0.4,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,25,0.4375,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,26,0.48936170212765956,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,27,0.5,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,28,0.37065637065637064,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,29,0.4092797783933518,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,30,0.35232903865213083,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,31,0.3982392542723977,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,32,0.4465366509751177,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,33,0.47639484978540775,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,34,0.5441176470588235,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,35,0.42424242424242425,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,36,0.4,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,global,0.36604434072345393,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,periodicity_dominance,global_by_read_length_max,0.40851808634772463,Proportion of reads in dominant reading frame; global uses one shared dominant frame
example_report,n_recommended_read_lengths,global,0.0,
example_report,recommended_read_proportion,global,0.0,
example_report,five_prime_ramp_ratio,global,46.5667,
example_report,three_prime_drop_ratio,global,0.0728,
example_report,marginal_position_discovery_rate,global,0.9844,
example_report,complexity_distinct_positions,global,98488.0,
example_report,floss_median,global,0.2077,
example_report,floss_aberrant_transcript_fraction,global,0.1081,
